水感嫩白粉底液	台灣雅芳股份有限公司/葉靖慧	臺北市	07 14 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	02  2 2015 12:00AM	平面媒體	avon廣告型錄	未違規結案	
JUMELLE皺效賦活眼霜	真愛無瑕有限公司/呂王麗春	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  4 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
ONCE保濕精華凝露	徐榮彬/蕭米茹	臺北市	09  2 2015 12:00AM		廣告違規	02  4 2015 12:00AM	平面媒體	蘋果日報	相關案件已處分	
NATURE TREE 高效安瓶菁華粉凝霜	法齊有限公司/許嚴文	臺北市	07 20 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	02  4 2015 12:00AM	平面媒體	Momo購物型錄1月號	相關案件已處分	
台鹽生技 高濃度膠原凍齡限定組	旺簇實業有限公司/	臺北市	07 29 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	02  4 2015 12:00AM	平面媒體	Momo購物型錄1月號	未違規結案	
時間寵愛-超完美乳暈還原膜	雲山國際生技股份有限公司/	臺北市	02 16 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	02  4 2015 12:00AM	平面媒體	Momo購物型錄	輔導結案	
JUMELLE皺效賦活眼霜	真愛無瑕有限公司/呂王麗春	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 24 2015 12:00AM	平面媒體	蘋果	未違規結案	
韓國LG-ReEn強化髮根香氛洗髮精	康柏科技股份有限公司 /	臺北市	07 16 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  5 2015 12:00AM	平面媒體	Momo購物型錄	未違規結案	
黑天鵝睫毛膏	台灣萊雅股份有限公司/	臺北市	07 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  9 2015 12:00AM	平面媒體	柯夢波丹 國際中文版	未違規結案	
日本Mediplus-Gel全效升級保濕彈力精華凝露	亞星通股份有限公司/	臺北市	03 30 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	01 27 2015 12:00AM	平面媒體	蘋果	輔導結案	
全新百優高透皙活力精萃	台灣資生堂股份有限公司/	臺北市	05 11 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	02  9 2015 12:00AM	平面媒體	柯夢波丹 國際中文版	未違規結案	
全新激光煥白精華玫瑰露	台灣萊雅股份有限公司/	臺北市	07 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 29 2015 12:00AM	平面媒體	台灣萊雅股份有限公司	未違規結案	
台灣褐藻醣膠肌膚修護	中華海洋生技股份有限公司/張永聲	新北市	08 17 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告違規	01 26 2015 12:00AM	平面媒體	台灣褐藻醣膠肌膚修護	未違規結案	
高斯潤肌精系列	台灣高斯股份有限公司/	臺北市	02 24 2015 12:00AM		廣告違規	01 26 2015 12:00AM	平面媒體	「高斯潤肌精系列」刊物	輔導結案	
零恐慌BB霜 SPF30/PA++	盧亞有限公司  /	臺北市	08 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  9 2015 12:00AM	平面媒體	柯夢波丹 國際中文版	未違規結案	
Sisley全能乳液	香港商希思黎化妝品有限公司台灣分公司/龍姵妏	臺北市	10 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  9 2015 12:00AM	平面媒體	柯夢波丹 國際中文版	未違規結案	
全新極緻大眼訂製雙刷頭睫毛膏	台灣萊雅股份有限公司 /	臺北市	07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  9 2015 12:00AM	平面媒體	柯夢波丹 國際中文版	未違規結案	
雅詩蘭黛Nrf2超智慧乳霜	美商怡佳股份有限公司 台灣分公司/	臺北市	11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02  9 2015 12:00AM	平面媒體	VOGUE 時尚雜誌 國際中文版	未違規結案	
植村秀火山泥淨白潔顏油	台灣萊雅股份有限公司/	臺北市	07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  9 2015 12:00AM	平面媒體	VOGUE 時尚雜誌 國際中文版	未違規結案	
burner超孅體乳 burner超孅腰腹霜 burner超孅腿凝膠	船井生醫股份有限公司/	臺中市	06  9 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02  6 2015 12:00AM	平面媒體	船井生醫	未違規結案	
全新 絕對完美黑鑽奧秘玫瑰精露	台灣萊雅股份有限公司 /	臺北市	07 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  9 2015 12:00AM	平面媒體	VOGUE 時尚雜誌 國際中文版	未違規結案	
全新 絕對完美黑鑽奧秘活粹	台灣萊雅股份有限公司/	臺北市	07 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  9 2015 12:00AM	平面媒體	VOGUE 時尚雜誌 國際中文版	未違規結案	
雅詩蘭黛NRF2超智慧乳霜	美商怡佳股份有限公司台灣分公司/陳國憫	臺北市	11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 10 2015 12:00AM	平面媒體	VOGUE時尚雜誌國際中文版	未違規結案	
絕對完美極致活化玫瑰油精粹	台灣萊雅股份有限公司/施洛朗	臺北市	07 21 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 23 2015 12:00AM	平面媒體	自由時報	未違規結案	
Jumelle皺效賦活眼霜	真愛無瑕有限公司/呂王麗春	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  4 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
獨染風騷-洗黑植物染髮	東安生技實業股份有限公司 /	臺北市	02 17 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	02  5 2015 12:00AM	平面媒體	Momo購物型錄	輔導結案	
台塑生醫控油抗屑清盈柔順洗潤組	康柏科技股份有限公司 /	臺北市	07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02  5 2015 12:00AM	平面媒體	Momo購物型錄	未違規結案	
Louvier峰翠胜肽拉提緊緻眼霜6件組	美光生醫科技股份有限公司/吳秉益	臺北市	04 23 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符廣告內容誇大不實	02  5 2015 12:00AM	平面媒體	富邦媒體科技股份有限公司MOMO購物型錄	未違規結案	
SK-II 青春露、微磁亮眼修護組、肌源新生賦活精萃、肌源新生活膚霜等產品	台灣寶潔家品有限公司/	臺北市	08 14 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規刊播未申請核准之廣告	02 12 2015 12:00AM	平面媒體	VOGUE時尚雜誌國際中文版 	未違規結案	
倩碧勻淨光透超導晶露X勻淨科研淡斑精華	美商怡佳股份有限公司台灣分公司/陳國憫	臺北市	11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 12 2015 12:00AM	平面媒體	VOGUE時尚雜誌國際中文版 	未違規結案	
ELIZABETH ARDEN 無暇未來系列產品	荷蘭商伊麗莎白雅頓有限公司台灣分公司/	臺北市	02  1 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	02 12 2015 12:00AM	平面媒體		未違規結案	
香奈兒 珍珠光感超淨白防護妝前乳、珍珠光感超淨白防曬粉餅、圓形腮紅#250粉紅芭蕾、4D四色眼影#248狂想曲(限量)、芭蕾舞曲唇彩盤(限量)	英屬開曼群島商香奈兒精品股份有限公司/	臺北市	02  1 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	02 12 2015 12:00AM	平面媒體		未違規結案	
艾地苯V領頸緻修護霜	荷蘭商伊麗莎白雅頓有限公司/	臺北市	04 20 2015 12:00AM		廣告內容宣稱誇大療效	02 12 2015 12:00AM	平面媒體	VOGUE 時尚雜誌 國際中文版	輔導結案	
AROMATHERAPY經典沐浴油系列等產品	東方美企業股份有限公司/呂恩政	臺北市	02  1 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	02 13 2015 12:00AM	平面媒體		未違規結案	
佳麗寶IMPRESS極致活膚系列	東方美企業股份有限公司/呂恩政	臺北市	05 21 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告違規	02 13 2015 12:00AM	平面媒體	VOGUE時尚雜誌國際中文版	未違規結案	
DARPHIN深海基因緊提極緻賦活系列	美商怡佳股份有限公司台灣分公司/陳國憫	臺北市	11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 13 2015 12:00AM	平面媒體	VOGUE時尚雜誌國際中文版 	未違規結案	
DARPHIN深海基因緊提極緻賦活系列	美商怡佳股份有限公司台灣分公司/陳國憫	臺北市	11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 13 2015 12:00AM	平面媒體	儂儂雜誌	未違規結案	
佳麗寶IMPRESS極致活膚系列	佳麗寶化工股份有限公司/呂恩政	臺北市	05 21 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告違規	02 13 2015 12:00AM	平面媒體	儂儂雜誌	未違規結案	
SISLEY極致美白淨斑精華	香港商希思黎化妝品有限公司台灣分公司/龍姵妏	臺北市	10 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 13 2015 12:00AM	平面媒體	儂儂雜誌	未違規結案	
SK-II青春露	台灣寶潔股份有限公司/	臺北市	08 14 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	02 13 2015 12:00AM	平面媒體	VOGUE 時尚雜誌 國際中文版	未違規結案	
SK-II 青春露、微磁亮眼修護組、肌源新生賦活精萃、肌源新生活膚霜等產品	台灣寶潔家品有限公司/	臺北市	08 14 2015 12:00AM	化粧品衛生管理條例第24條第2項	刊播未申請核准之廣告	02 16 2015 12:00AM	平面媒體	壹週刊	未違規結案	
多容安極效舒緩修護精華乳、多容安極效舒敏眼霜	台灣萊雅股份有限公司/	臺北市	03 26 2015 12:00AM		廣告違規廣告違規	02 16 2015 12:00AM	平面媒體	壹週刊	輔導結案	
SISLEY 極致美白淨斑精華	香港商希思黎化妝品有限公司台灣分公司/	臺北市	10 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 16 2015 12:00AM	平面媒體	時報周刊	未違規結案	
資生堂 彈潤肌密膠原保濕水、膠原保濕乳	台灣資生堂股份有限公司/	臺北市	05 11 2015 12:00AM		廣告違規	02 16 2015 12:00AM	平面媒體	時報周刊	相關案件已處分	
Jumelle 極效修護水凝霜	中石通路整合有限公司/戴家宏	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 11 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
歐舒丹乳油木臉部保養系列	台灣歐舒丹股份有限公司/	臺北市	07 30 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	02 17 2015 12:00AM	平面媒體	VIVI唯妳時尚國際中文版	未違規結案	
DR.JART+零孔慌BB霜等產品	盧亞有限公司/	臺北市	08 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 17 2015 12:00AM	平面媒體	VIVI唯妳時尚國際中文版 	未違規結案	
實力‧肌極緻水通道逆齡水潤精華	實立麒股份有限公司/	臺北市	07 28 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 17 2015 12:00AM	平面媒體	WITH與妳時尚國際中文版	未違規結案	
SISLEY極致美白淨斑精華	香港商希思黎化妝品有限公司台灣分公司/龍姵妏	臺北市	10 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 24 2015 12:00AM	平面媒體	柯夢波丹國際中文版	未違規結案	
DR.JART+零孔慌BB霜等產品	盧亞有限公司/	臺北市	08 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 24 2015 12:00AM	平面媒體	柯夢波丹國際中文版	未違規結案	
雅詩蘭黛NRF2超智慧乳霜	美商怡佳股份有限公司台灣分公司/陳國憫	臺北市	11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 24 2015 12:00AM	平面媒體	女人我最大	未違規結案	
LOREAL活力緊緻 瞬效柔膚霜	台灣萊雅股份有限公司/施洛朗	臺北市	08 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 24 2015 12:00AM	平面媒體	女人我最大	未違規結案	
薔薇之戀逆齡乳霜等產品	安妮絲薇貿易有限公司/	臺北市	05 18 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 24 2015 12:00AM	平面媒體	女人我最大	未違規結案	
MAYBELLINE上下刷頭睫毛膏	台灣萊雅股份有限公司/施洛朗	臺北市	08 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 24 2015 12:00AM	平面媒體	女人我最大	未違規結案	
蘭蔻激光煥白嫩粉餅、氣墊粉餅	台灣萊雅股份有限公司/施洛朗	臺北市	07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 24 2015 12:00AM	平面媒體	女人我最大	未違規結案	
SISLEY極致美白淨斑精華、極致賦活美白精華	香港商希思黎化妝品有限公司台灣分公司/龍姵妏	臺北市	10 12 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 25 2015 12:00AM	平面媒體	時尚女王	未違規結案	
蘭蔻絕對完美系列	台灣萊雅股份有限公司/施洛朗	臺北市	07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 24 2015 12:00AM	平面媒體	時尚女王	未違規結案	
理膚寶水油性皮膚.青春痘系列	台灣萊雅股份有限公司/施洛朗	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 12 2015 12:00AM	平面媒體	理膚寶水油性皮膚.青春痘系列傳單	未違規結案	
理膚寶水安得利全護防曬系列	台灣萊雅股份有限公司/施洛朗	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 12 2015 12:00AM	平面媒體	理膚寶水安得利全護防曬系列傳單	未違規結案	
ONCE保濕精華凝露	徐榮彬/蕭米茹	臺北市	09  2 2015 12:00AM		廣告違規	02 25 2015 12:00AM	平面媒體	蘋果日報	相關案件已處分	
JUMELLE皺效賦活眼霜	真愛無瑕有限公司/呂王麗春	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 25 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
ONCE保濕精華凝露	徐榮彬/蕭米茹	臺北市	09  2 2015 12:00AM		廣告違規	02 25 2015 12:00AM	平面媒體	蘋果日報	相關案件已處分	
JUMELLE極效修護水凝霜	真愛無瑕有限公司/呂王麗春	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 25 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
ONCE保濕精華凝露	徐榮彬/蕭米茹	臺北市	09  2 2015 12:00AM		廣告違規	02 25 2015 12:00AM	平面媒體	蘋果日報	相關案件已處分	
JUMELLE皺效賦活眼霜	真愛無瑕有限公司/呂王麗春	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 25 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
JUMELLE極效修護水凝霜	真愛無瑕有限公司/呂王麗春	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 25 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
ONCE保濕精華凝露	徐榮彬/蕭米茹	臺北市	09  2 2015 12:00AM		廣告違規	02 25 2015 12:00AM	平面媒體	蘋果日報	相關案件已處分	
【ORIKS】熱銷TV鑽白奢華滋養霜尊寵組  	韓貿開發有限公司/	臺北市	04 14 2015 12:00AM		廣告內容宣稱誇大療效	02 13 2015 12:00AM	平面媒體	momo購物	輔導結案	
TS6護一生緊彈水嫩凝膠	天賜爾生物科技股份有限公司/	臺北市	06 22 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容誇大不實	02 26 2015 12:00AM	平面媒體	常春月刊	未違規結案	
BOUNCE BACK TO YOUTH晚安凍齡面膜	美雅國際企業股份有限公司/	臺北市	08  4 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 25 2015 12:00AM	平面媒體	VOGUE 時尚雜誌 國際中文版	未違規結案	
山茶花保濕微導入精華液	英屬開曼群島商香奈兒精品股份有限公司/	臺北市	07  8 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	02 24 2015 12:00AM	平面媒體	VOGUE 時尚雜誌 國際中文版	未違規結案	
全新 雅詩蘭黛Nrf2超智慧乳霜	美商怡佳股份有限公司台灣分公司/	臺北市	11 26 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	02 26 2015 12:00AM	平面媒體	ELLE TAIWAN	未違規結案	
YSL情挑誘色美唇精萃	台灣萊雅股份有限公司/	臺北市	07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	02 26 2015 12:00AM	平面媒體	VOGUE 時尚雜誌 國際中文版	未違規結案	
ONCE保濕精華凝露	徐榮彬/	高雄市	05 10 2015 12:00AM	化粧品衛生管理條例第24條第2項	傳播業者刊登或宣播未經核准之化妝品廣告	02 25 2015 12:00AM	平面媒體	蘋果日報	未違規結案	
艾杜紗高機能毛孔淨透凝膠	法倈麗國際股份有限公司/	臺北市	08  4 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03  2 2015 12:00AM	平面媒體	自由時報	未違規結案	
全新 絕對完美黑鑽奧秘系列 	台灣萊雅股份有限公司/施洛朗	臺北市	07 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 20 2015 12:00AM	平面媒體	哈潑時尚雜誌 國際中文版	未違規結案	
青春煉金術	必昂國際股份有限公司/	臺北市	07 31 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	01 20 2015 12:00AM	平面媒體	哈潑時尚雜誌 國際中文版	未違規結案	
能量精粹系列	雅仕國際有限公司/林逸生	臺北市	07  2 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告內容宣稱誇大療效	01 20 2015 12:00AM	平面媒體	哈潑時尚雜誌 國際中文版	未違規結案	
SISLEY極致美白淡斑精華	香港商希思黎化妝品有限公司台灣分公司/	臺北市	03 11 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	03  3 2015 12:00AM	平面媒體	ELLE TAIWAN	輔導結案	
三宅一生 一生之水 春櫻漫舞 女香限量版	法倈麗國際股份有限公司/	臺北市	08  4 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	03  3 2015 12:00AM	平面媒體	ELLE TAIWAN	未違規結案	
佳麗寶Impress CT賦活緊緻精華液N	佳麗寶化工股份有限公司/	臺北市	04 29 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	廣告違規廣告違規	03  3 2015 12:00AM	平面媒體	ELLE TAIWAN	未違規結案	
德國WEBNER360度鑽石光淨斑精華(美白升級版)	久保雅司國際有限公司/黃惠玲		08 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	07  5 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
韓國ARONA無暇HD美肌粉底液	帛采國際有限公司/		11  2 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	06 11 2015 12:00AM	電視		未違規結案	
日本BSC超薄淡斑貼膜指定專案	冠品生物科技股份有限公司/諸葛?		09 30 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	07 10 2015 12:00AM	電視	新台北有線電視股份有限公司	相關案件已處分	
德國原裝WEBNER全能淨透卸妝精油(加碼組)	久保雅司國際有限公司/黃惠玲		08 17 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	07 11 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
TIMARU經典奢華香水沐浴組	奇威國際洋行有限公司/		09  4 2015 12:00AM	化粧品衛生管理條例第24條第1項化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	07  6 2015 12:00AM	電視	世新有線電視股份有限公司	未違規結案	
STEMCIN糖瓷柔光植萃礦物粉餅	冠品生物科技股份有限公司/		09 17 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	06  8 2015 12:00AM	電視		相關案件已處分	
美國原裝DR JOHN 淨白抗皺精萃	奈蜜朗生化科技有限公司/		09  2 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	06 16 2015 12:00AM	電視		未違規結案	
牛爾-京城之霜-新晶鑽活顏雪膚凝霜	塞席爾商美之本國際有限公司台灣分公司/		08 20 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	06 29 2015 12:00AM	電視	、孫嘉禾	相關案件已處分	
牛爾-京城之霜-新晶鑽活顏雪膚凝霜	塞席爾商美之本國際有限公司台灣分公司/		08 20 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	07 10 2015 12:00AM	電視	世新有線電視股份有限公司	相關案件已處分	
涵沛日本原裝冷凍速然魔力塑II	聖泰科技股份有限公司/		10 13 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	07 17 2015 12:00AM	電視		未違規結案	
濟州清涼保濕舒緩黃瓜膠	新普利股份有限公司/楊尚軒		10 23 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	07 17 2015 12:00AM	電視		未違規結案	
京城之霜-新晶鑽活顏雪膚凝霜	塞席爾商美之本國際有限公司台灣分公司/		08 20 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	07 13 2015 12:00AM	電視		相關案件已處分	
EVELINE有氧運動雕塑美肌組	喬依國際股份有限公司/陸素菁		10 19 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	04  7 2015 12:00AM	電視		未違規結案	
STEMCIN醫美熱銷蝸牛精華液	冠品生物科技股份有限公司/諸葛?		09 30 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	07 16 2015 12:00AM	電視	新台北有線電視股份有限公司	相關案件已處分	
DR.NEO逆時光肌水晶凝霜(品牌進駐限定)	日立國際實業有限公司/徐立德		02 22 2016 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	07 16 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
涵沛殭屍面膜年度專案回饋組	聖泰科技有限公司/		09 14 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	07 14 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
MEDIMIX印度翡翠全效神皂(精純限量版)	喬依國際股份有限公司/陸素菁			化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	07 14 2015 12:00AM	電視		未違規結案	
STYLE以色列養髮素專案回饋組	晉恩股份有限公司/		12 25 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	07 17 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
以色列原裝Style洗髮精	晉恩股份有限公司/		12 25 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	06  2 2015 12:00AM	電視		未違規結案	
日本BSC精質乳霜百萬專案組	冠品生物科技股份有限公司/		09 30 2015 12:00AM	化粧品衛生管理條例第24條第2項	其刊登或宣播之廣告內容與原核准廣告內容不符	05 26 2015 12:00AM	電視		未違規結案	
BODY FIX對抗脂肪複方緊塑組	勇昌貿易有限公司/		09 30 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告內容宣稱誇大療效	06 19 2015 12:00AM	電視		未違規結案	
涵沛日本原裝冷凍速燃魔力塑II	聖泰科技股份有限公司/		10 13 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	07 17 2015 12:00AM	電視	新台北有線電視	未違規結案	
德國COSNATURE天然有機緊緻眼霜	勇昌貿易有限公司/			化粧品衛生管理條例第24條第1項	刊播未申請核准之廣告	06 16 2015 12:00AM	電視		未違規結案	
日本BSC超薄淡斑貼膜指定專案	冠品生物科技股份有限公司/諸葛?		09 30 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	07 19 2015 12:00AM	電視	新台北有線電視股份有限公司	相關案件已處分	
涵沛殭屍面膜年度專案回饋組	聖泰科技股份有限公司/		10 13 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	07 17 2015 12:00AM	電視		未違規結案	
Dr.Neo逆時光肌水晶凝霜/產品編號3409349	日立國際實業有限公司/		02 22 2016 12:00AM		廣告違規	07  3 2015 12:00AM	電視	新台北有線電視	相關案件已處分	
STYLE以色列養髮素好評熱銷組	晉恩股份有限公司/		12 25 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	07 24 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
涵沛日本原裝冷凍速燃魔力塑II	聖泰科技股份有限公司/		09 14 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	07 24 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
ORIKS毛孔清涼洗顏霜組	韓貿開發有限公司/吳馥瑜			化粧品衛生管理條例第24條第1項	廣告違規	06  9 2015 12:00AM	電視		未違規結案	
涵沛超涵水鑽白奇蹟限量搶購組	聖泰科技股份有限公司/		10 13 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	07 10 2015 12:00AM	電視		未違規結案	
涵沛殭屍面膜年度專案回饋組	聖泰科技股份有限公司/		10 13 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	07 17 2015 12:00AM	電視		未違規結案	
台糖詩丹雅蘭深度賦活肌因修護（6件）組	富悅國際行銷有限公司/		10 14 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	05 21 2015 12:00AM	電視		未違規結案	
義大利原裝ELDNA革命性奇蹟抗老精華	瑞田貿易有限公司/		10 16 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	07 26 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
AMOILY醫師推薦女性私密Q嫩組	華太行銷顧問有限公司/		10 13 2015 12:00AM		其刊登或宣播之廣告內容與原核准廣告內容不符	07 27 2015 12:00AM	電視	新台北有線電視股份有限公司	輔導結案	
韓國熱賣濟州清涼保濕舒緩黃瓜膠	新普利股份有限公司/楊尚軒		10 23 2015 12:00AM	化粧品衛生管理條例第24條第2項	廣告違規	07 25 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
德國原裝WEBNER激活逆齡玫瑰精油原液	久保雅司國際有限公司/黃惠玲		10 14 2015 12:00AM	化粧品衛生管理條例第24條第1項	其刊登或宣播之廣告內容與原核准廣告內容不符	07 28 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
船井醫朵16X超光速美白精華	卡得國際有限公司/		10  2 2015 12:00AM	化粧品衛生管理條例第24條第1項	廣告違規	07 29 2015 12:00AM	電視	新台北有線電視股份有限公司	未違規結案	
