分類,標題,內容,附檔連結,發布日期
"化粧品","坊間流傳「口紅含鉛可以用金戒指測試檢驗」訊息，請問這是真的嗎？","解答： 坊間流傳一個測試口紅含鉛量的方法，將口紅塗一點在手上，然後用金戒指(純金或K金、白金)去摩擦，摩擦後戒指上的口紅變黑就表示含鉛，黑色如果越深表示含鉛量越重，這是真的嗎？ (1) 實際上坊間流傳的測試口紅含鉛方法是沒有科學根據的，金戒指(純金或K金、白金)摩擦所產生的黑色物質，可能是由金戒指(純金或K金、白金)的表面污穢物或所含其他微量金屬成分與化粧品摩擦後所導致，其道理如同用牙膏擦拭金屬可能會有淡淡的黑色產生之現象相同。 (2) 目前我國已嚴格禁止化粧品中添加任何含鉛成分，惟製造過程中，因使用之原料或其他因素，且技術上無法避免，致含自然殘留微量為10ppm，容許殘留量甚微，因此，如果經摩擦產生黑色沉澱，沉澱來源仍須經科學實證才能確認。 (3) 至於口紅含鉛與否，必須透過原子吸收光譜或是感應偶合電漿質譜儀等檢測儀器，才能有效檢測含鉛量，民眾可以至食藥署實驗室認證資訊網(網址：http://lams.fda.gov.tw/Default.aspx)，查詢合格的實驗室做檢測。 (4) 食藥署為保障消費者使用化粧品安全，持續落實稽查抽驗，歷年稽查檢驗的結果顯示，不符規定的化粧品多來自攤販、夜市，建議選購及使用化粧品時，務必仔細挑、仔細看，最好至店家選購有品牌的化粧品，切勿購買來路不明、標示不清的產品。此外，口紅使用有一定的保存期限，若出現變質、產生油臭味等情況，代表有酸敗與氧化的現象，就不要使用，確保自身安全。 (5) 民眾如果發現有化粧品不良品、懷疑產品含有不法成分，或是使用時產生不良反應，均可通報食藥署所建置的「藥物食品化粧品上市後品質管理系統（全國化粧品不良事件通報系統）」，網址：http://qms.fda.gov.tw/tcbw/ ，通報專線：02-66251166轉6401。 參考資料： 藥物食品安全週報22期http://www.fda.gov.tw/TC/PublishOtherEpaper.aspx?pn=57 國家網路醫院http://hospital.kingnet.com.tw/essay/essay.html?pid=1855","","03 8 2016"
"藥品","吃藥時配果汁應該沒關係吧？","解答： 常常有民眾為求方便，服藥時隨手拿起手邊的果汁併用，這不僅會影響藥物性質，也會影響藥品原有的療效，甚至造成嚴重的副作用。。 (1) 柚子、葡萄柚及柑橘類，因為含有豐富的「呋喃香豆素(furanocoumarin)」，會抑制人體肝臟中用來代謝特定藥物的酵素CYP3A4；當此酵素無法發揮作用時，人體分解藥物的速度就會減慢，使吃下的藥物在體內停留的時間被延長或導致血液中藥物濃度異常升高，就像服下過量的藥一樣，進而出現副作用或是產生毒性。 (2) 建議吃藥時應配適量溫開水(約250~300ml)一起服用，吞食後可分數次補充水分，確保藥物進入腸胃道，發揮藥品的療效。 參考資料： 食藥署「民眾用藥宣導專區」之103年新住民安全用藥手冊 http://www.fda.gov.tw/TC/site.aspx?sid=3670 財團法人藥害救濟基金會 https://www.tdrf.org.tw/ch/02_affair/aff_01_main.asp?bull_id=5274","","03 10 2016"
"食品","網路上有人分享，食用黑木耳可以化解長年阻塞的心腦血管血栓，這是真的嗎？","解答： 網路上流傳有食用黑木耳可化解心腦血管血栓的說法？！正解是： (1) 心血管疾病是現代人常見的疾病，不良的飲食習慣、抽菸、飲酒過量、缺乏運動、年齡老化、高血壓、糖尿病等因素都會影響血管的彈性，甚至引發中風、心肌梗塞等危險。 (2) 心血管疾病的患者，仍應以醫療診治為主，遵從醫師囑咐，定時適量服藥或施作手術來治療心血管疾病。不宜自行使用沒有實證療效的藥物或偏方，避免造成健康損傷。 (3) 建議民眾要飲食均衡，透過不同的食物來源，攝取各種營養，降低肉類與脂肪等攝取頻率，並養成運動習慣、戒菸、適量飲酒等，以保持心血管健康。 參考資料： 國家網路醫院http://hospital.kingnet.com.tw/essay/essay.html?pid=21163","","01 8 2016"
"食品","常常聽人說料理不要加味精，味精真的有毒嗎？","解答： 許多注重健康的外食族到餐館或麵攤點餐時，都會提醒老闆不要加味精，擔心吃味精會有味覺麻痺、頭痛、頸部僵硬等現象，甚至有人傳言吃味精會中毒或是致癌？！ (1) 味精的主要成分是麩胺酸鈉（monosodium glutamate，簡稱MSG），亦稱為谷氨酸鈉或麩酸鈉，具有獨特的鮮味，是屬於調味劑功能的食品添加物。 (2) 許多天然食物中都含有麩胺酸鈉，例如番茄、乳酪或乳製品、蘑菇、玉米、青豆、肉類等，味精過去的生產方式是從海藻提取和麵筋水解，現在則以澱粉、糖蜜為原料，以微生物發酵而製成。根據國際麩胺酸鈉資訊服務單位(IGIS)研究，即使料理完全不添加味精，我們每天正常的飲食中大約會攝取到20克的麩胺酸鈉。 (3) 在動物實驗中，只有在非常高劑量的麩胺酸鈉才會引起急性中毒，但沒有顯著的慢性毒性、致畸胎性或基因毒性，而美國食品藥物管理局(U.S. FDA)於1995年公佈食用正常消費量的味精對人體無害，而且無任何證據顯示食用味精和任何慢性疾病有關。 (4) 食藥署提醒如為高血壓、心臟病、肝腎臟等疾病的限鈉患者，味精的含鈉量(13%)雖然只有食鹽(39%)的三分之一，烹調用量也比食鹽少，但是仍應遵從醫師指示，減少食鹽與味精的攝食量，避免攝食過量的鈉。 參考資料： 國家環境毒物研究中心http://nehrc.nhri.org.tw/toxic/news.php?cat=news&id=94 國立台灣大學科學教育發展中心http://case.ntu.edu.tw/blog/?p=19182 食力http://www.foodnext.net/science/additives/flavorings/paper/4593710174","","01 11 2016"
"食品","網路流傳免洗筷有許多毒素，吃了會中毒，這是真的嗎？","解答： 網路、LINE流傳「免洗筷有許多毒素，吃了會中毒」的訊息，經常使用會在身體裡殘留毒素？！ (1) 依據食藥署公告的「免洗筷衛生標準」，免洗筷是指以竹或木為原料經加工製成後，不再經洗滌即可供使用之筷子，為一次性使用之食品器具，不得有不良變色、異臭、異味、污染、發霉、蟲蛀、含有異物或纖維剝落現象。此外為避免有不肖業者使用聯苯、過氧化氫來達到防腐、殺菌、漂白效果，長期暴露會刺激腸胃道，造成噁心嘔吐、腹瀉等，甚至可能造成肝功能退化，因此食藥署規定不得檢出含有過氧化氫及聯苯等成分，而二氧化硫殘留量應為500 ppm以下。 (2) 食藥署及各縣市衛生局104年度稽查全國共172家大賣場、量販店、生鮮超市、免洗餐具批發商等，總計抽驗市售免洗筷225件檢驗二氧化硫、聯苯及過氧化氫。檢驗結果二氧化硫殘留量均與規定相符，惟4件越南進口免洗筷不合標準，1件檢出聯苯0.22 ppm，3件檢出過氧化氫，抽驗不合格率佔1.8%。衛生單位將持續落實稽查抽驗，確保免洗筷餐具的安全與品質。 (3) 食藥署提醒民眾出外飲食宜自備環保餐具，如需使用免洗筷時，應避免使用顏色太白、有異味酸味的免洗筷，並注意包裝是否完整，有無破損發霉的現象，使用時勿泡在熱湯裡增加有害物質溶出風險。 參考資料： 食藥署公告資訊http://goo.gl/5SBzN0食藥署免洗筷衛生標準http://goo.gl/Tb8ufR","","01 18 2016"
"食品","坊間流傳南非葉可以治療癌症，這是真的嗎？","解答： 坊間流傳每天吃南非葉，可以治療癌症，這是真的嗎？ (1) 南非葉(又稱扁桃斑鳩菊、桃葉斑鳩菊、苦葉、苦膽葉等)，為菊科斑鳩菊屬多年生灌木植物，原產於熱帶非洲、南美，目前本土亦常見栽培。 (2) 由於國人健康意識的提升，對於食品安全相關議題更加重視，所以有關食品問題的傳言也越來越多，但多數是誇大或未經證實的內容，常常引起許多民眾的恐慌。關於坊間流傳「南非葉可以治療癌症」的訊息，內容沒有相關的資訊來源，而且也沒有相關科學論述依據，對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信。 (3) 食藥署提醒，民眾應該保持均衡飲食，養成健康的生活習慣，適當運動並維持理想體重，建立正確的營養攝取觀念，才能維持身體健康。如有身體不適，應適時就醫並遵醫囑治療，勿聽信偏方而延誤就醫時機。 參考資料： 行政院農委會農業知識入口網 http://kmweb.coa.gov.tw/knowledge/knowledge_cp.aspx?ArticleId=1174827&ArticleType=A&CategoryId=&kpi=0&dateS=&dateE=","","03 29 2016"
"食品","網路Line流傳，可口可樂「美粒果」含有美國禁用農藥「多菌靈」，會傷腦及導致癌症，這是真的嗎？","解答： 網路Line流傳，可口可樂「美粒果」含有美國禁用農藥「多菌靈」，會導致腦麻痺及肝臟腫瘤等癌症，這是真的嗎？！ 美國食品藥物管理局(FDA)雖曾於101年從柳橙汁(非針對特定產品)檢出微量多菌靈(貝芬替)，對外聲明雖有違規但因「微量」而未採取下架，後續若有健康危害才會採取行動。台灣衛福部食藥署將持續蒐集國際相關訊息。 另，可口可樂公司105年3月30日於該公司網站已說明：http://www.coke.com.tw/content/go/coca-cola/TW/zh/minute-maid/ 參考資料： 美國食品藥物管理局 http://www.fda.gov/Food/FoodborneIllnessContaminants/Pesticides/ucm288004.htm)","","03 30 2016"
"食品","天氣潮濕，地瓜發芽有毒嗎？","解答： 天氣潮濕，根莖類食材易發芽，但是聽說發芽的地瓜有毒不能食用，請問這是真的嗎？ (1) 根據農委會的說明，地瓜是屬於旋花科植物，一般食用的品種有紅皮紅肉的台農66號、黃皮黃肉的台農57號、黃皮紅肉的台農64號以及紫心甘藷(俗稱芋仔甘藷)。地瓜在發芽過程中會消耗掉部分的營養物質，導致水分及澱粉含量下降，吃起來口感稍差、甜度下降、營養價值降低，但是沒有產生有毒物質，發芽的地瓜仍可食用。 (2) 雖然地瓜發芽沒有毒，但是食藥署提醒民眾盡量攝取新鮮的食材，並注意食材的保存，單次購買量不宜太多，選購時地瓜形體以飽滿橢圓最佳，並注意地瓜表面是否有傷痕或皺皮，有傷痕則容易腐爛，皺皮則表示採收已久不新鮮。 參考資料： 行政院農委會農業知識入口網 http://kmweb.coa.gov.tw/knowledge/knowledge_cp.aspx?ArticleId=92083&ArticleType=A&CategoryId=&kpi=0&dateS=&dateE= 藥物食品安全週報第422期 http://www.fda.gov.tw/tc/PublishOtherEpaper.aspx","","04 14 2016"
"藥品","疫苗含硫柳汞安全嗎?","硫柳汞(Thimerosal)是一種有機汞的衍生物(乙基汞)，作為疫苗產品之保存劑，抑制微生物在疫苗貯藏與使用過程生長。其不同於造成人體傷害之甲基汞(methylmercury)或無機汞，乙基汞(ethylmercury)在體內可被代謝掉且不會在人體內累積。 根據2006年美國小兒科醫學會(AAP)及公共衛生服務部預防接種諮詢委員會(ACIP)提出的報告，以及世界衛生組織全球疫苗安全諮詢委員會(GACVS)之聲明，目前並沒有因為疫苗中含汞造成傷害的案例，亦無證據證明疫苗中的硫柳汞，對受其暴露的嬰兒、兒童或成人具有毒性。 疫苗是否不能含硫柳汞的爭議為時已久，為降低疑慮，各疫苗製造廠也陸續提升藥品製造技術，發展出含極微量硫柳汞或不含硫柳汞之疫苗，且被全球廣泛採用。","","04 14 2016"
"醫療器材","天氣冷的時候，紅外線燈照起來很舒服，使用一兩個小時應該沒關係吧？","解答： 天氣冷的時候，紅外線燈照起來很舒服，使用時間拉長，照一兩個小時應該沒關係吧？ (1) 「紅外線治療器」屬於醫療器材，為藉由紅外線光的熱能，改善血液循環、緩解肌肉僵硬及疼痛等症狀，但並非所有肌肉疼痛、僵硬的症狀都能適用，應由醫師或物理治療師評估後再使用較為妥適。 (2) 因紅外線治療器的原理為熱能，為確保民眾使用安全，一般民眾若無醫囑應避免自行操作使用，特別是正在使用止痛藥、鎮定劑的急性疼痛期的病患以及皮膚的溫度感覺異常的患者，如糖尿病患者、中風患者，由於對溫度過高反應較為遲鈍，更應避免自行操作使用，以免造成皮膚熱傷害。另照射部位有發炎性傷口、皮膚疾病的病患並不適合使用本項器材。 (3) 使用時，治療部位之選擇，強度及時間等參數，須經評估後設定，才能在安全狀態下，達到預期的治療療效。使用後，由醫師或物理治療師等專業人員定期診斷追蹤，才能完整評估使用效果。假若在使用紅外線治療器後感到不適或是症狀沒有改善，應馬上與專業人員聯絡，確保使用安全性。 參考資料： 食藥署「使用紅外線燈注意三不原則 緩解痠痛健康樂活」 http://www.fda.gov.tw/upload/133/2015071609255364476.pdf","","04 18 2016"
"食品","有人說飯後喝茶會中毒，這是真的嗎？","解答： 聽朋友說，飯後喝茶不僅不能幫助消化，還會產生毒素導致中毒，請問這是真的嗎？ (1) 事實上，茶葉富含單寧酸(或稱鞣酸、鞣質)，而用餐時大多會攝食含蛋白質的食物，學理上單寧酸容易與蛋白質結合成「鞣酸蛋白」而凝固成塊，同時食用可能因相互影響，導致消化不易、腸胃不適等情形，但並非食品中毒，請民眾不必過度擔憂。建議飯後隔一段時間再飲用茶水，以減輕腸胃負荷。 (2) 單寧酸普遍存在於食物中，除了茶葉之外，番石榴、葡萄、山楂、柿子等都富含單寧酸，因此建議民眾與富含蛋白質的食物，如：雞蛋、海鮮、乳製品及豆製品等分開食用，避免消化不良。 參考資料： 財團法人中國醫藥研究發展基金會 http://www.ctmd.org.tw/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF/2010-01-05/%E5%96%9D%E8%8C%B6%E7%9A%84%E7%9B%8A%E8%99%95%E8%88%87%E7%BC%BA%E9%BB%9E 衛福部國健署健康九九網站 http://health99.hpa.gov.tw/Article/ArticleqaDetail2.aspx?TopIcNo=614","","04 21 2016"
"化粧品","含有三氯沙(triclosan)成分的化粧品，聽說會致癌，真的有這麼恐怖嗎？","解答： 聽說含有三氯沙成分的化粧品，會因三氯沙和含氯自來水產生有毒物質，進而導致癌症，真的有這麼恐怖嗎？ (1) 「三氯沙」(triclosan)是一種抗菌劑，可以降低及減少微生物生長，通常於清潔用品及化粧品中，作為抗菌及防腐等用途，在洗手乳、沐浴乳及洗面乳等化粧品中都可能會使用。依據目前風險評估科學研究，國際間認同化粧品在規定限量範圍可以使用三氯沙成分，不至於對人體產生危害，包括歐盟、美國、加拿大及中國大陸等國家地區，均准許其作為化粧品原料使用，產品中限量0.3%，與我國目前化粧品中三氯沙之使用限量相同。 (2) 雖有部分研究指出，當三氯沙與存有餘氯之自來水接觸後，會產生俗稱「哥羅芳」之氯仿(三氯甲烷)成分，而含有三氯沙之產品經使用後排放，廢水中也可能產生戴奧辛，而使三氯沙存有使用安全疑慮，然美國食品藥物管理局(FDA)曾發布訊息指出，目前尚未有確切證據顯示三氯沙有害人體健康，但會持續展開安全性調查，有最新調查報告將再行發布。食藥署將持續關注該項議題進展，並積極了解相關科學評估現況，如確有證據顯示該成分具有健康關聯性，當會採取相關管制措施，以維護消費者健康與權益。 (3) 最後提醒您，在選購及使用化粧品時，若發現有不良品或發生不良反應，可通報食藥署建置的「藥物食品化粧品上市後品質管理系統(全國化粧品不良事件通報系統)」，網址：http://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。 參考資料： 食藥署新聞稿 http://www.fda.gov.tw/PDA/page02Content.aspx?id=11428&chk=a0c4c93a-d04e-4bb6-aeed-cd0162e55450&param=pn%3D5","","04 25 2016"
"藥品","朋友建議牛奶配藥吃最顧胃，這是真的嗎？","解答： 聽說藥都會傷胃，所以朋友推薦藥物與牛奶一起服用，這樣比較不傷胃，這是真的嗎？ (1) 牛奶中含有鈣、鎂、鐵等元素，會與某些藥品形成不溶性鹽類，會降低藥品吸收而影響療效。另外腸衣錠類的藥品若與牛奶併用，可能會導致腸衣錠提早在胃中溶解，使藥品失效。 (2) 食藥署提醒，「吃藥配白開水」是最佳的選擇，應避免以其他飲料(如:茶、咖啡、果汁、酒、牛奶、豆漿等)服用藥品。 參考資料： 長庚紀念醫院衛教資訊 http://old.chang-gung.com/news.php?id=313","","09 29 2016"
"食品","網路流傳，濾掛式咖啡的紙袋含有致癌物質，這是真的嗎？","解答︰ 網路流傳，濾掛式咖啡之紙袋，會添加含PAE的濕強劑來避免紙遭熱水沖破，並指稱咖啡中醇類與油類會加速濕強劑的致癌物溶解至咖啡中，引起民眾對濾掛式咖啡致癌之疑慮。 (1) 食藥署以傅立葉轉換紅外線光譜儀(FTIR)針對9件市售濾掛式咖啡產品之濾袋材質進行檢驗，結果顯示所有濾袋皆為聚丙烯(PP)與聚對苯二甲酸乙二酯(PET)或聚丙烯(PP)與低密度聚乙烯(LDPE)所製成之複合型不織布材質，並非紙類材質。不織布材質強韌，具堅韌性及耐水性，無須添加濕強劑，並無PAE物質致癌風險之虞。 (2) 此9件濾掛式咖啡產品之濾袋內側與咖啡接觸部分均為PP材質，在塑膠類食品用器具容器包裝材質中PP具耐酸鹼、耐化學物質、耐碰撞、耐高溫等特性，其耐熱溫度可達100-140℃，為目前最具耐熱性之塑膠材質，民眾無須擔心濾掛式咖啡之使用安全。 參考資料︰ 食藥署新聞發布 http://www.fda.gov.tw/TC/newsContent.aspx?id=21305&chk=44071810-72cb-47cb-8d00-eb66f9fff7f3&param=pn&cid=4&cchk=f11420b2-cf8e-4d3a-beb5-66521b800453#.V-5FPFKa2Uk 食藥署《塑膠類食品容(器)具或包裝衛生安全與標示100問》http://www.fda.gov.tw/TC/publicationsContent.aspx?id=64&chk=32681f19-3f4d-42a5-b1ee-49d4315edc9f&param=pn%3d4#.V-5HAlKa2Uk","","10 4 2016"
"食品","偶有在診所或醫院候診時，會看到號稱可治病的偏方傳單，這可以相信嗎？","解答： 有時候在診所或醫院候診時，偶爾會收到傳單，有些是印刷的、有些是用手寫的，內容都是一些治病的偏方，這些偏方可以相信嗎？ (1) 由於國人健康意識的提升，對於食品或藥品的保健相關議題更加重視，所以有關的傳言也越來越多，但多數是誇大或未經證實的內容，常常引起許多民眾的疑慮。關於診間候診時流傳的偏方傳單，其內容通常沒有相關的資訊來源，而且也沒有科學論述依據。 (2) 依《醫療法》之醫療廣告相關規定，非醫療機構不得為醫療廣告，且醫療廣告不得以假借他人名義為宣傳，也不得以公開祖傳秘方或公開答問為宣傳。 (3) 食藥署提醒民眾，對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信及嘗試，也避免再轉傳親友或其他候診患者。民眾應落實「用藥安全五不原則」：不聽信別人推薦的藥、不信有神奇療效的藥、不吃別人贈送的藥、不買地攤夜市遊覽車上所販賣的藥、不要推薦藥品給別人。","","03 31 2016"
"化粧品","網路流傳用「汽水」洗頭髮，可以讓頭髮有彈性，甚至增加髮量，這是真的嗎？","解答： 日前國外流行用「汽水」當洗髮精來洗頭髮，標榜可以讓頭髮有彈性、增加髮量且髮絲律動感更好，這是真的嗎？ 食藥署徵詢皮膚科醫師表示，汽水中的成分為食用性質，並非用於洗頭，而頭皮酸鹼值為中性稍偏酸(pH值5.5)，碳酸汽水則為酸性(pH值約於2~4之間)，長期使用汽水洗頭，汽水中的碳酸可能會刺激頭皮，進而導致頭皮傷害。 食藥署提醒民眾如有頭皮問題應尋求專業醫師協助，不要任意輕信偏方，想要讓頭髮展現健康光澤，還是得從清潔做起，用汽水洗頭等網路傳言，別輕易嘗試，以免護髮不成，反造成傷害。 參考資料： 公共電視報導http://news.pts.org.tw/article/314845","","04 6 2016"
"食品","聽說因為政府檢驗不出來，廠商製作魚鬆都亂做，所以最好不要買魚鬆，請問這是真的嗎？","解答： 聽說魚鬆的成分都隨便摻雜，政府也無法檢驗，所以最好不要買魚鬆，請問這是真的嗎？ (1) 關於魚鬆成分無法鑑定來自於何種魚類的疑問，食品藥物管理署目前應用去氧核醣核酸(DNA)分子生物科技，結合即時聚合酶鏈反應(Real-time PCR)及魚種生物條碼(DNA Barcode)等技術，已經開發具高靈敏度之快速鑑別檢驗方法，可以針對魚鬆製品標示或宣稱之魚成分進行魚種鑑定，充分揭露食品成分訊息，保障民眾權益。 (2) 食藥署將持續落實稽查抽驗，確保魚類原料及其加工製品的安全與品質，同時提醒民眾購買及食用前，仔細閱讀包裝上的食品標示，注意有效日期、內容物(魚鬆成分)、營養標示、廠商資訊等重要資訊。 參考資料： 食藥署新聞 http://www.fda.gov.tw/TC/newsContent.aspx?id=19561&chk=ac96150a-5a6a-4e37-892f-3d17471cc0e1&param=pn&cid=4&cchk=f11420b2-cf8e-4d3a-beb5-66521b800453#.Vtf4Y1Jf2Uk","","04 7 2016"
"食品","傳聞說不沾鍋有毒，請問是否屬實？","解答： 傳聞說不沾鍋的塗料含有有毒物質，吃了會有害身體，請問這是否屬實？ (1) 不沾鍋鍋內塗有一層聚四氟乙烯(PTFE)的塗料，俗稱「鐵氟龍(Teflon)」，具有耐高低溫(-190~260℃)、耐蝕性(抗酸抗鹼)等性能。此不沾塗料之特點為烹調時使用油量較少且食物不易沾黏附著，鍋具較易清洗。 (2) 惟塗料中含有全氟辛酸(PFOA)，此物質加熱至327℃時，溶出機率增加。全氟辛酸(PFOA)可能造成肝臟損傷、影響內分泌系統，目前已被國際癌症研究機構(IARC)列為第2A類可能致癌物質，雖對試驗動物具致癌性，但尚未證實對人體有致癌性。 (3) 此外與食品或食品添加物直接接觸之食品器具容器及包裝(含不沾鍋)，都應該要符合「食品安全衛生管理法」及「食品器具容器包裝衛生標準」的規定，不得有不良變色、異臭、異味、污染。一般而言，檢驗出危害物質的含量極低。業者產製各類食品容器具或包裝時，應確保產品符合「食品器具容器包裝衛生標準」，並應明確標示產品資訊。 (4) 食藥署提醒民眾兩項要點： A. 購買食品容器具或包裝時，應注意產品標示內容，依所標示材質之特性正確使用。如果不沾鍋表面出現刮傷、受損、甚至裂痕等情形，應更換新品。 B. 使用不沾鍋時，建議避免過度用力使用鍋具剷刮表面及烹調帶硬殼海鮮或帶堅硬骨頭的食材，也須避免長時間高溫烹煮、甚至在無油無水狀態下空燒鍋具，使用後亦建議避免過度用力以鋼刷刷洗，減少因刮傷、磨損、異常高溫而增加食品容器具之溶出風險。一旦發現鍋面刮傷或損傷，就應避免使用並更換。 參考資料： 台大醫院健康電子報 http://epaper.ntuh.gov.tw/health/201404/special_1_2.html 國家網路醫院 http://hospital.kingnet.com.tw/free/quickqa-answer.html?uid=945","","04 11 2016"
"食品","最近臉書或是LINE等網路媒體流傳，食品條碼是「8」開頭的就是基改食品，這是真的嗎？","解答： 不明消息來源在Line、臉書等網路通訊媒體上散播，食品條碼是「8」開頭的就是基改食品，引發部分消費者的疑慮。 (1) 由於國人健康意識的提升，對於基改食品相關議題更加重視，所以有關基改食品問題的傳言也越來越多，但多數是誇大或未經證實的內容，既沒有相關的資訊來源，也沒有科學論述依據，反而造成許多消費者的疑慮。 (2) 關於網路流傳「食品條碼是8開頭的就是基改食品」的訊息，「國際食品標準聯合會」持續推動「食品條碼」(PLU Codes)，以做標準化的食材履歷追蹤，目前以採四位碼為主，若是有機生產，則在四位碼之前加上「9」成為五位碼，並未提及任何「8」開頭與基改有關的資訊，因此「食品條碼是8開頭的就是基改食品」純屬謠言。 (3) 食藥署提醒民眾，對於這種沒有根據的傳言，應該抱持小心謹慎的態度，不要隨便輕易相信，也避免再轉傳親友。 參考資料： 國際食品標準聯合會農產品條碼使用者手冊(Produce IFPS PLU Codes, A User’s Guide) http://www.ifpsglobal.com/Portals/22/PLU%20Users%20GuideSpring%202015.pdf","","04 28 2016"
"食品","網路Line流傳，「麵包及麵粉製品都不能吃了，是基改小麥製得的」，這是真的嗎？！","網路Line流傳，「麵包及麵粉製品都不能吃了，是基改小麥製得的」，這是真的嗎？！ 基因改造食品原料應取得衛生福利部查驗登記許可，始得供作食品原料，我國迄今並未准許基因改造小麥供作食品原料。另於國際農業生物技術應用非營利組織ISAAA(International Service for the Acquisition of Agri-biotech Applications) 網站GM Approval Database查詢，國際間尚無任何國家商業化量產基改小麥。因此，想買基改小麥來大量製造食物是不可能的，我國市面上麵包及麵粉製品也不會是以基因改造小麥為原料製得。本署並已持續針對港口端進口之小麥原料進行監測，尚無發現混有基改小麥，民眾可解除疑慮安心食用。 參考資料： 1. 衛生福利部核准之基因改造食品原料 http://consumer.fda.gov.tw/ 首頁 > 整合查詢中心 > 食品 > 核可資料查詢 > 衛生福利部審核通過之基因改造食品原料之查詢 2. ISAAA網站查詢，國際間尚無任何國家商業化量產基改小麥 http://www.isaaa.org/gmapprovaldatabase/event/default.asp?EventID=237&Event=MON71800 3. 孟山都公司聲明2004年已停止該耐嘉磷塞基改小麥的商業開發計畫，包含終止所有田間試驗；也檢測奧勒岡州和華盛頓州50種商業品種共3萬份小麥樣本，結果並沒有發現耐嘉磷塞基改品系。 http://www.monsanto.com/gmwheat/documents/roundup-ready-wheat-briefing-06-21-13.pdf 4. 美國小麥協會聲明美國不生產基改小麥作為商業用途http://www.uswheat.org/search/doc/949432F5956760BA85257C15004A4B00/$File/GIPSA%20GM%20Wheat%20May%2031%202013.pdf?OpenElement#","","04 26 2016"
"醫療器材","有人說年紀大眼睛看不清楚就是老花，隨手買老花眼鏡看得清楚就可以了，這樣真的可以嗎？","解答： 有人說老花眼鏡隨便在路邊攤、文具店買買就好，只要能看得清楚就可以了，這樣真的可以嗎？ (1) 造成視力不清楚的原因有很多，並非都是「老花眼」所造成的，必須經過專業眼科醫師診斷確認；如果經診斷確認為老花眼，配戴矯正鏡片(含老花眼鏡)為改善方法之一。 (2) 矯正鏡片(含老花眼鏡)屬於醫療器材，必須經過專業人員驗光及依照個人條件與需求而驗配。如果配戴度數不符合個人需求的老花眼鏡，會影響水晶體的調節能力，不正常壓迫眼部肌肉之收縮，造成眼睛酸澀、頭暈頭痛、噁心、姿勢不正導致肩頸痠痛等。 (3) 食藥署提醒，矯正鏡片(含老花眼鏡)屬於醫療器材，為維護民眾眼睛安全健康，購買前應先經專業眼科醫師評估，以維護您的視力健康與安全。 參考資料： 財團法人全民健康基金會 http://www.twhealth.org.tw/index.php?option=com_zoo&task=item&item_id=466&Itemid=20 食藥署公告 http://www.fda.gov.tw/tc/faqContent.aspx?id=1004&chk=80b86299-0a92-43c3-a2cc-64ce600a592f&param=pn%3d9%26cid%3d#.VuI_7VJf2Uk","","05 3 2016"
"食品","有人說咖啡越陳越香，咖啡豆放久一點，泡出來的咖啡更香醇，這是真的嗎？","解答： 有人說咖啡越陳越香，咖啡豆放久一點，泡出來的咖啡更香醇，這是真的嗎？ (1) 在玉米、大麥、小麥、燕麥等穀物及堅果、辣椒、咖啡豆都曾被發現受到赭麴毒素A污染，食物一旦被赭麴毒素汙染，就難以完全去除。長期貯放的咖啡豆，經烘焙沖泡出來的咖啡不一定香醇，而且若溫度、濕度或通風控制不當，咖啡豆可能受潮、發霉，甚至腐敗，增加赭麴毒素A污染的風險。所以咖啡並非越陳越香，反而應該盡量選擇乾燥且新鮮的咖啡。 (2) 赭麴毒素是一種由黴菌所產生的二級代謝產物，與黃麴毒素類似，是天然的黴菌毒素。這些黴菌廣泛散布於土壤及空氣中，只要有濕潤的環境就會滋長並產生赭麴毒素。赭麴毒素中以赭麴毒素A、B及C最為重要，其中以赭麴黴毒素A的毒性最強，具有腎臟毒性及致癌性，可能導致腎臟病變；依據世界衛生組織(WHO)及國際癌症研究組織(The International Agency for Research on Cancer, IARC)的評估，將赭麴毒素A列為2B類對人可能致癌之物質(possibly carcinogenic to humans)。 (3) 食藥署於104年1-7月抽驗烘焙咖啡豆及咖啡粉共計87件，無赭麴黴毒素A超標，皆符合規定，食藥署將定期抽驗，為民眾食品安全把關。 (4) 台灣高溫多濕的氣候很容易滋生黴菌，食物輕微發黴產生毒素時，肉眼難以辨識，食藥署提醒消費者，購買咖啡產品仍應選擇信譽良好，乾燥完全且包裝完整的產品，儲存環境尤其重要，應避免潮濕，開封後要注意保存方式，儘量隔絕空氣中的水氣進入，不要放太久，發現有異狀時即應丟棄不要食用。 參考資料： 1.食藥署藥物食品安全週報第524期 http://www.fda.gov.tw/TC/PublishOtherEpaper.aspx 2.國民健康署健康九九網站 http://health99.hpa.gov.tw/txt/PreciousLifeZone/print.aspx?TopIcNo=702&DS=1-life 3.洪富美(2012)。〈如何品嘗好咖啡〉，《新北市醫誌》，15: 66-69。","","05 11 2016"
